Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
[ESPT] Lost,75,36,2.08,7,0.84,0.4,3,0,0,0,7.00,0.00,[ESPT] rupert: 5,[ESPT] Onety One: 6,"GEWEHR 43: 40, MP40: 33, UNKNOWN: 1, M43 STIELHANDGRANATE: 1",http://144.126.151.248:8010/#/gamescoreboard/8060
[ESPT] WimZy,74,35,2.11,9,0.86,0.4,5,1,0,0,9.00,0.00,[ESPT] rupert: 4,[ESPT] wexthexpeople: 6,"GEWEHR 43: 26, M1 GARAND: 16, MG42: 13, MP40: 6, 150MM HOWITZER [sFH 18]: 6, STG44: 5, LUGER P08: 1, M43 STIELHANDGRANATE: 1",http://144.126.151.248:8010/#/gamescoreboard/8060
[ESPT] rupert,65,31,2.1,13,0.75,0.36,4,1,0,0,6.00,0.00,[ESPT] Lost: 6,[ESPT] Lost: 5,"M1 GARAND: 64, UNKNOWN: 1",http://144.126.151.248:8010/#/gamescoreboard/8060
[ESPT] Valhalla,101,24,4.21,14,1.63,0.39,3,1,0,0,9.00,0.00,[ESPT] Excel: 4,[ESPT] Excel: 9,"MG42: 84, GEWEHR 43: 13, UNKNOWN: 3, 150MM HOWITZER [sFH 18]: 1",http://144.126.151.248:8010/#/gamescoreboard/8057
(WTH) Sgt. Rico,80,8,10,33,1.57,0.16,1,0,0,0,21.00,1.00,bishop: 1,RandoKalrissian: 9,"MG42: 58, GEWEHR 43: 21, STG44: 1",http://144.126.151.248:8010/#/gamescoreboard/8057
[GC]Partik,74,12,6.17,38,0.94,0.15,4,2,0,0,14.00,1.00,AuxiliumUltimus: 7,Wisakachek: 9,"155MM HOWITZER [M114]: 70, M1 GARAND: 2, M1 CARBINE: 2",http://144.126.151.248:8010/#/gamescoreboard/8057
[ESPT] WimZy,134,9,14.89,46,1.54,0.1,2,2,0,0,20.00,0.00,Smith: 2,[ESPT] Excel: 6,"150MM HOWITZER [sFH 18]: 114, KARABINER 98K: 9, MG34: 6, GEWEHR 43: 3, MP40: 2",http://144.126.151.248:8010/#/gamescoreboard/8053
[ESPT] Valhalla,71,9,7.89,25,0.82,0.1,3,1,0,0,22.00,2.00,Razethane: 2,ufuriousbro: 5,"75MM CANNON [Sd.Kfz.171 Panther]: 23, 75MM CANNON [Sd.Kfz.161 Panzer IV]: 18, 50mm KwK 39/1 [Sd.Kfz.234 Puma]: 16, 20MM KWK 30 [Sd.Kfz.121 Luchs]: 4, COAXIAL MG34 [Sd.Kfz.234 Puma]: 4, COAXIAL MG34 [Sd.Kfz.121 Luchs]: 3, COAXIAL MG34 [Sd.Kfz.171 Panther]: 2, MG42: 1",http://144.126.151.248:8010/#/gamescoreboard/8053
[ESPT] Valhalla,83,38,2.18,13,0.95,0.44,3,2,0,0,10.00,0.00,GRID: 3,Jerg(erlerg): 6,"M1918A2 BAR: 36, M1 GARAND: 31, BAZOOKA: 7, BROWNING M1919: 4, UNKNOWN: 2, MK2 GRENADE: 2, S-MINE: 1",http://144.126.151.248:8010/#/gamescoreboard/8051
[ESPT] WimZy,78,24,3.25,14,0.89,0.28,2,0,0,0,11.00,1.00,[ESPT] Sheller3: 2,[ESPT] Sheller3: 5,"M1 GARAND: 70, MK2 GRENADE: 6, UNKNOWN: 2",http://144.126.151.248:8010/#/gamescoreboard/8051
