Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
WaTaHa || Joy,80,0,80,80,1.48,0,0,6,0,0,0.00,167.00,,Godziemniok: 5,"76MM M1 GUN [Sherman M4A3E2(76)]: 71, COAXIAL M1919 [Sherman M4A3E2(76)]: 9",http://178.18.254.195:8010/#/gamescoreboard/4047
PixelMaster_Cz,70,12,5.83,23,1.01,0.17,2,0,1,1,13.00,1.00,gigachad: 2,slavic2299: 5,"M1 GARAND: 68, MK2 GRENADE: 2",http://178.18.254.195:8010/#/gamescoreboard/4035
[AVC] Knacki,69,26,2.65,15,0.97,0.37,6,2,0,0,10.00,0.00,GeT_LeNiN: 3,| kazik12bbsp: 5,"BROWNING M1919: 60, M1 GARAND: 4, M3 GREASE GUN: 2, M3 KNIFE: 1, COLT M1911: 1, Opel Blitz (Supply): 1",http://178.18.254.195:8010/#/gamescoreboard/4035
Bury McCockiner,76,11,6.91,34,1.31,0.19,3,0,0,0,14.00,1.00,Hubal: 2,Magneto91: 5,"M1 GARAND: 57, BROWNING M1919: 17, M8 Greyhound: 1, M97 TRENCH GUN: 1",http://178.18.254.195:8010/#/gamescoreboard/4031
Krzysieg,72,11,6.55,60,1.04,0.16,3,2,0,0,37.00,1.00,sliskiantonio: 4,wojwenPL: 6,"150MM HOWITZER [sFH 18]: 62, KARABINER 98K: 6, STG44: 3, UNKNOWN: 1",http://178.18.254.195:8010/#/gamescoreboard/4020
Mega Kret 4040,66,9,7.33,20,0.93,0.13,3,0,0,0,15.00,2.00,SOSnaPL_1: 3,Amper_PL: 5,"BOMBING RUN: 54, STRAFING RUN: 7, M1 GARAND: 5",http://178.18.254.195:8010/#/gamescoreboard/4020
WaTaHa||KOMORNIK_CTU,90,3,30,55,1.15,0.04,2,5,0,0,54.00,6.00,Mulin: 1,Vodkenstein: 5,"88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]: 64, COAXIAL MG34 [Sd.Kfz.181 Tiger 1]: 25, Sherman M4A1: 1",http://178.18.254.195:8010/#/gamescoreboard/4018
GregMeister,74,23,3.22,20,0.94,0.29,6,3,0,0,10.00,1.00,Kaszkamanna: 4,babsior: 5,"M1 GARAND: 40, BOMBING RUN: 29, STRAFING RUN: 4, Sd.Kfz.121 Luchs: 1",http://178.18.254.195:8010/#/gamescoreboard/4018
[DC] Vadiii,68,23,2.96,13,1.15,0.39,4,4,1,1,6.00,1.00,[BST2] Dryvv: 7,Pan Kotowski: 6,"STG44: 60, SATCHEL: 8",http://178.18.254.195:8010/#/gamescoreboard/4018
[BST2] Dryvv,65,19,3.42,13,1.38,0.4,2,0,0,0,7.00,1.00,[DC] Vadiii: 6,[DC] Vadiii: 7,M1 GARAND: 65,http://178.18.254.195:8010/#/gamescoreboard/4018
