Steam ID,Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
Steam ID,Rook,76,21,3.62,16,0.86,0.24,5,0,0,0,11.00,1.00,Banzai-4-H_entai: 6,B3RT: 4,"MG42: 52, KARABINER 98K: 12, MP40: 7, GEWEHR 43: 4, LUGER P08: 1",https://server2.82nd.gg/#/gamescoreboard/27185
Steam ID,SMP,73,22,3.32,15,1.24,0.37,2,0,0,0,6.00,0.00,Palleralli: 3,K_Roc: 6,"MP40: 49, STG44: 12, KARABINER 98K: 5, M43 STIELHANDGRANATE: 3, GEWEHR 43: 2, MG34: 1, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/27182
Steam ID,teddy,93,15,6.2,51,1.52,0.25,2,1,1,1,9.00,1.00,Kanf: 3,Kanf: 6,"150MM HOWITZER [sFH 18]: 60, MP40: 14, GEWEHR 43: 14, M43 STIELHANDGRANATE: 4, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/27173
Steam ID,Tomel,78,6,13,35,1.06,0.08,3,3,0,0,32.00,1.00,Frederick: 2,SESH || Black41Aces: 7,"76MM M1 GUN [Sherman M4A3E2(76)]: 56, COAXIAL M1919 [Sherman M4A3E2(76)]: 15, M6 37mm [M8 Greyhound]: 4, COAXIAL M1919 [Sherman M4A1]: 2, COAXIAL M1919 [M8 Greyhound]: 1",https://server2.82nd.gg/#/gamescoreboard/27158
Steam ID,SESH || Mocha Cafe,97,30,3.23,19,1.18,0.37,6,1,0,0,17.00,0.00,Tomel: 7,exel: 6,"GEWEHR 43: 95, KARABINER 98K: 2",https://server2.82nd.gg/#/gamescoreboard/27158
Steam ID,Pancho,66,27,2.44,28,0.75,0.31,4,1,0,0,20.00,0.00,[82AD] FERGIE: 3,Gunslinger25: 5,"150MM HOWITZER [sFH 18]: 47, MP40: 13, GEWEHR 43: 4, M43 STIELHANDGRANATE: 2",https://server2.82nd.gg/#/gamescoreboard/27124
Steam ID,Nils,71,4,17.75,55,0.81,0.05,1,1,0,0,35.00,11.00,dani206: 1,AmBallas: 5,"76MM M1 GUN [Sherman M4A3E2(76)]: 38, COAXIAL M1919 [Sherman M4A3E2(76)]: 17, 75MM CANNON [Sherman M4A1]: 7, COAXIAL M1919 [Sherman M4A1]: 5, HULL M1919 [Sherman M4A3E2(76)]: 4",https://server2.82nd.gg/#/gamescoreboard/27124
Steam ID,rmcm00,77,3,25.67,76,2.06,0.08,1,2,0,0,27.00,2.00,SkidMark [dk]: 2,Involuntary Diaspora: 5,"155MM HOWITZER [M114]: 76, M1 GARAND: 1",https://server2.82nd.gg/#/gamescoreboard/27111
Steam ID,PVT Nipple 🅽,70,12,5.83,29,0.86,0.15,3,4,0,0,23.00,1.00,Hawkon: 3,tanksdkfz: 4,"76MM M1 GUN [Sherman M4A3E2(76)]: 34, 37MM CANNON [Stuart M5A1]: 20, COAXIAL M1919 [Sherman M4A3E2(76)]: 5, M1A1 THOMPSON: 3, HULL M1919 [Stuart M5A1]: 3, COAXIAL M1919 [Stuart M5A1]: 2, HULL M1919 [Sherman M4A3E2(76)]: 1, TELLERMINE 43: 1, HULL M1919 [Sherman M4A1]: 1",https://server2.82nd.gg/#/gamescoreboard/27095
Steam ID,Onyx,78,18,4.33,66,0.97,0.22,6,5,0,0,44.00,1.00,The Rat King: 2,MrButters12: 5,"150MM HOWITZER [sFH 18]: 63, MP40: 8, S-MINE: 3, M43 STIELHANDGRANATE: 2, UNKNOWN: 1, TELLERMINE 43: 1",https://server2.82nd.gg/#/gamescoreboard/27095
Steam ID,Znake,80,3,26.67,73,1.28,0.05,1,0,0,0,57.00,0.00,NASI793: 1,[TM] ♥Ae Fox❤: 7,"GEWEHR 43: 79, WALTHER P38: 1",https://server2.82nd.gg/#/gamescoreboard/27080
Steam ID,STRUTCH FARM,90,55,1.64,13,1.03,0.63,5,1,3,1,5.00,0.00,KolviHarri: 7,[483] Ferow: 8,"M1A1 THOMPSON: 73, MK2 GRENADE: 12, M1 GARAND: 4, UNKNOWN: 1",https://server2.82nd.gg/#/gamescoreboard/27079
Steam ID,Sir Patron 91,66,27,2.44,14,0.84,0.35,4,0,1,1,14.00,0.00,Lrtt💯: 4,m4a1 assault rifle: 5,"MP40: 56, M43 STIELHANDGRANATE: 4, TELLERMINE 43: 3, KARABINER 98K: 2, M24 STIELHANDGRANATE: 1",https://server2.82nd.gg/#/gamescoreboard/27053
Steam ID,Telford,102,10,10.2,70,1.5,0.15,2,5,0,0,12.00,1.00,Bill the Butcher: 3,King_N0thing: 6,"150MM HOWITZER [sFH 18]: 82, STRAFING RUN: 8, BOMBING RUN: 6, MP40: 2, TELLERMINE 43: 2, UNKNOWN: 1, KARABINER 98K: 1",https://server2.82nd.gg/#/gamescoreboard/27048
Steam ID,ScrumMaster,66,3,22,64,0.96,0.04,2,0,0,0,36.00,5.00,GraF: 1,jokerclown: 4,"75MM CANNON [Sherman M4A1]: 45, COAXIAL M1919 [Sherman M4A1]: 18, HULL M1919 [Sherman M4A3E2(76)]: 2, Opel Blitz (Supply): 1",https://server2.82nd.gg/#/gamescoreboard/27048
Steam ID,VigelantBG,83,10,8.3,45,0.94,0.11,2,9,0,0,19.00,0.00,Black Rifles Matter: 6,Black Rifles Matter: 5,"150MM HOWITZER [sFH 18]: 76, MP40: 7",https://server2.82nd.gg/#/gamescoreboard/27032
Steam ID,Swerico,90,5,18,89,2.24,0.12,4,4,0,0,33.00,1.00,Bulletspongie: 2,dantachhh: 6,"150MM HOWITZER [sFH 18]: 88, GEWEHR 43: 2",https://server2.82nd.gg/#/gamescoreboard/27030
Steam ID,Staydirt,79,0,79,79,1.88,0,0,16,0,0,0.00,167.00,,Mr.MassiveBallson: 7,150MM HOWITZER [sFH 18]: 79,https://server2.82nd.gg/#/gamescoreboard/27026
