Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
(WTH) Trotche,70,46,1.52,9,0.8,0.53,4,0,1,1,10.00,0.00,CoRe | Zoom: 5,CoRe | Humpelpumpel: 6,"STG44: 42, MG42: 22, MP40: 4, LUGER P08: 1, GMC CCKW 353 (Supply): 1",http://144.91.71.61:8040/#/gamescoreboard/14813
(WTH) Curious George,68,45,1.51,9,0.78,0.52,4,1,2,1,7.00,0.00,🆂 (WTH) JagdGG: 4,(WTH) MEvans: 6,M1 GARAND: 68,http://144.91.71.61:8040/#/gamescoreboard/14813
CoRe | Flieder',66,47,1.4,6,0.75,0.53,5,0,2,1,5.00,0.00,(WTH) Curious George: 5,(WTH) pizzawithaW: 5,"GEWEHR 43: 59, STG44: 6, M43 STIELHANDGRANATE: 1",http://144.91.71.61:8040/#/gamescoreboard/14813
CoRe | Zoom,65,38,1.71,7,0.75,0.44,3,0,1,1,7.00,0.00,(WTH) Pigbin: 4,(WTH) Trotche: 5,"M1 GARAND: 64, MK2 GRENADE: 1",http://144.91.71.61:8040/#/gamescoreboard/14813
RAHMAD GOBLOK,69,1,69,62,1.04,0.02,1,8,0,0,55.00,55.00,King Ragnar: 1,N4kedCheese: 8,"150MM HOWITZER [sFH 18]: 67, STG44: 2",http://144.91.71.61:8040/#/gamescoreboard/14812
RAHMAD GOBLOK,92,8,11.5,84,1.38,0.12,2,2,0,0,48.00,1.00,Moxxie: 2,OVERDOG: 6,"155MM HOWITZER [M114]: 84, M1918A2 BAR: 7, TELLERMINE 43: 1",http://144.91.71.61:8040/#/gamescoreboard/14804
JaimeKo,83,10,8.3,47,1.18,0.14,2,0,0,0,10.00,1.00,Tormet: 3,[LL] Janys: 6,"76MM M1 GUN [Sherman M4A3E2(76)]: 34, M1 GARAND: 17, COAXIAL M1919 [Sherman M4A3E2(76)]: 13, M6 37mm [M8 Greyhound]: 8, COAXIAL M1919 [M8 Greyhound]: 5, M1918A2 BAR: 4, M97 TRENCH GUN: 1, 57MM CANNON [M1 57mm]: 1",http://144.91.71.61:8040/#/gamescoreboard/14804
[DD] STENER,69,21,3.29,13,0.79,0.24,3,0,0,0,12.00,1.00,BusinessCat: 3,Altronach: 5,"M1903 SPRINGFIELD: 68, MK2 GRENADE: 1",http://144.91.71.61:8040/#/gamescoreboard/14804
simpletom1,65,3,21.67,47,1.09,0.05,1,3,0,0,14.00,6.00,Colt: 1,Fenris: 4,"76MM M1 GUN [Sherman M4A3E2(76)]: 43, COAXIAL M1919 [Sherman M4A3E2(76)]: 12, 75MM CANNON [Sherman M4A3(75)W]: 9, COAXIAL M1919 [Sherman M4A3(75)W]: 1",http://144.91.71.61:8040/#/gamescoreboard/14799
(WTH) Caro,73,43,1.7,8,0.84,0.49,4,1,2,1,11.00,1.00,(WTHr) BlueMeanie: 10,(WTH) Chronic: 16,"M3 KNIFE: 71, M1A1 THOMPSON: 2",http://144.91.71.61:8040/#/gamescoreboard/14798
🆁 (WTH) nev :),71,39,1.82,8,0.93,0.51,4,0,0,0,8.00,1.00,(WTH) SGT. STAG: 12,(WTH) SGT. STAG: 18,"M3 KNIFE: 68, M1 GARAND: 2, MK2 GRENADE: 1",http://144.91.71.61:8040/#/gamescoreboard/14796
(WTH) Incognito,116,8,14.5,47,1.33,0.09,2,0,0,0,34.00,1.00,Echo: 1,Cousin Lit: 6,"MG42: 113, LUGER P08: 2, UNKNOWN: 1",http://144.91.71.61:8040/#/gamescoreboard/14786
(WTH) Reinout,97,21,4.62,28,1.11,0.24,5,0,0,0,12.00,1.00,PAR: 2,BatHulkSmash: 6,"MG42: 96, LUGER P08: 1",http://144.91.71.61:8040/#/gamescoreboard/14786
Gecko*,93,24,3.88,14,1.92,0.5,3,0,0,0,4.00,0.00,(WTH) Incognito: 5,Zaxar_inc: 10,"M1 GARAND: 89, UNKNOWN: 2, MK2 GRENADE: 2",http://144.91.71.61:8040/#/gamescoreboard/14786
(WTH) Bubblebeard,74,27,2.74,10,0.85,0.31,3,0,0,0,7.00,1.00,Kingy: 3,Kingy: 5,"GEWEHR 43: 63, STG44: 6, MP40: 3, UNKNOWN: 1, M43 STIELHANDGRANATE: 1",http://144.91.71.61:8040/#/gamescoreboard/14786
(WTHr) Jakob,66,28,2.36,10,0.76,0.32,5,1,0,0,8.00,1.00,PAR: 3,[OC] ColonelSalt: 8,"GEWEHR 43: 65, M43 STIELHANDGRANATE: 1",http://144.91.71.61:8040/#/gamescoreboard/14786
(WTH) VikkøxX,103,25,4.12,44,1.18,0.29,5,0,0,0,23.00,0.00,DrDurrrst: 4,(WTH) Marvanorum: 5,"FG42 x4: 99, S-MINE: 3, UNKNOWN: 1",http://144.91.71.61:8040/#/gamescoreboard/14775
[G.A.I] Lt. Elendil,70,1,70,62,0.89,0.01,1,3,0,0,71.00,71.00,☠Moonbaby☠: 1,DibsonLess: 4,"76MM M1 GUN [Sherman M4A3E2(76)]: 36, COAXIAL M1919 [Sherman M4A3E2(76)]: 19, 75MM CANNON [Sherman M4A3(75)W]: 6, HULL M1919 [Sherman M4A3E2(76)]: 6, COAXIAL M1919 [Sherman M4A3(75)W]: 2, Sherman M4A3E2(76): 1",http://144.91.71.61:8040/#/gamescoreboard/14775
(WTH) Reinout,65,36,1.81,12,0.74,0.41,5,0,2,1,12.00,0.00,It'sGuardianTime: 9,It'sGuardianTime: 6,"M1 GARAND: 34, M1903 SPRINGFIELD: 27, UNKNOWN: 2, COLT M1911: 1, M1918A2 BAR: 1",http://144.91.71.61:8040/#/gamescoreboard/14773
CoRe | RazeN,91,37,2.46,10,1.05,0.43,2,0,0,0,7.00,0.00,(WTH) Bubblebeard: 6,(WTHr) Jakob: 6,"GEWEHR 43: 44, STG44: 36, KARABINER 98K: 10, UNKNOWN: 1",http://144.91.71.61:8040/#/gamescoreboard/14764
CoRe | Zoom,83,39,2.13,9,0.95,0.45,5,1,1,1,7.00,1.00,(WTH) tørfisk: 6,Zadra: 5,"GEWEHR 43: 81, M43 STIELHANDGRANATE: 2",http://144.91.71.61:8040/#/gamescoreboard/14764
(WTH) tørfisk,80,21,3.81,35,0.91,0.24,2,1,0,0,17.00,1.00,[DC*] Curtie [HUWDU]: 3,Unverbit: 8,"M1 GARAND: 77, GEWEHR 43: 3",http://144.91.71.61:8040/#/gamescoreboard/14764
(WTH) Bubblebeard,71,44,1.61,11,0.82,0.51,7,0,0,0,7.00,0.00,CoRe | Gezuppel: 7,CoRe | Gezuppel: 7,"M1 GARAND: 65, MK2 GRENADE: 5, UNKNOWN: 1",http://144.91.71.61:8040/#/gamescoreboard/14764
[DC*] Curtie [HUWDU],70,5,14,48,0.79,0.06,2,3,0,0,26.00,6.00,Miszaa: 2,Astropaddy: 6,"75MM CANNON [Sd.Kfz.161 Panzer IV]: 38, HULL MG34 [Sd.Kfz.171 Panther]: 10, COAXIAL MG34 [Sd.Kfz.161 Panzer IV]: 10, 75MM CANNON [Sd.Kfz.171 Panther]: 8, Sd.Kfz.171 Panther: 4",http://144.91.71.61:8040/#/gamescoreboard/14764
(WTH)Koukoulele,70,34,2.06,13,0.8,0.39,4,0,1,1,8.00,0.00,shar: 5,shar: 4,"M1 GARAND: 18, M97 TRENCH GUN: 15, 155MM HOWITZER [M114]: 13, M1918A2 BAR: 12, M1 CARBINE: 5, MK2 GRENADE: 2, M2 AP MINE: 2, GEWEHR 43: 1, UNKNOWN: 1, SATCHEL: 1",http://144.91.71.61:8040/#/gamescoreboard/14764
Dassloch,72,22,3.27,16,0.86,0.26,4,0,0,0,12.00,1.00,FNj: 2,Lilac_Sheep: 5,"M1 GARAND: 71, MK2 GRENADE: 1",http://144.91.71.61:8040/#/gamescoreboard/14761
(WTH)Koukoulele,90,18,5,27,1.29,0.26,5,0,1,1,11.00,0.00,(WTH) Oskar: 4,(WTH) Wapajama: 7,"STG44: 81, SATCHEL: 7, M43 STIELHANDGRANATE: 2",http://144.91.71.61:8040/#/gamescoreboard/14758
(WTH) ReformedGamer,76,23,3.3,14,1.09,0.33,4,1,2,1,9.00,0.00,StinkyDiplomat: 3,(WTH) Oskar: 6,"GEWEHR 43: 68, MG42: 5, FELDSPATEN: 3",http://144.91.71.61:8040/#/gamescoreboard/14758
(WTH) Oskar,71,31,2.29,12,1.02,0.44,3,1,1,1,8.00,0.00,(WTH) ReformedGamer: 6,Tiemke: 5,M1 GARAND: 71,http://144.91.71.61:8040/#/gamescoreboard/14758
(WTH) Reinout,66,31,2.13,14,0.76,0.36,4,0,0,0,10.00,1.00,(WTH) Froontan: 9,🆂 (WTH) JagdGG: 10,"FG42 x4: 42, GEWEHR 43: 24",http://144.91.71.61:8040/#/gamescoreboard/14751
Orcjura,83,22,3.77,22,0.94,0.25,3,0,0,0,9.00,1.00,Witus: 3,Witus: 7,"M1 GARAND: 81, BAZOOKA: 2",http://144.91.71.61:8040/#/gamescoreboard/14747
悄悄滴进村开枪滴不要,69,24,2.88,14,1.19,0.41,4,0,0,0,9.00,0.00,Orcjura: 5,(WTH) Blitzoi: 4,"MP40: 34, GEWEHR 43: 30, M43 STIELHANDGRANATE: 5",http://144.91.71.61:8040/#/gamescoreboard/14747
[82ADr] Cederoth,73,5,14.6,25,0.83,0.06,1,2,0,0,31.00,6.00,afromania2: 2,Bubbles: 4,"75MM CANNON [Sd.Kfz.171 Panther]: 37, 88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]: 24, COAXIAL MG34 [Sd.Kfz.171 Panther]: 6, COAXIAL MG34 [Sd.Kfz.181 Tiger 1]: 6",http://144.91.71.61:8040/#/gamescoreboard/14743
KRT™Mental asylum wa,171,4,42.75,108,1.94,0.05,2,11,0,0,54.00,1.00,AVRO: 1,Catskinner: 10,"150MM HOWITZER [sFH 18]: 168, MP40: 1, UNKNOWN: 1, M2 AP MINE: 1",http://144.91.71.61:8040/#/gamescoreboard/14729
|||™️ Zywaday,121,21,5.76,32,1.47,0.25,2,0,0,0,19.00,1.00,Jimmy Fart Pants: 3,WizzyNation: 6,"GEWEHR 43: 117, FELDSPATEN: 2, M43 STIELHANDGRANATE: 2",http://144.91.71.61:8040/#/gamescoreboard/14729
KRT™HardyBuck,73,7,10.43,39,0.83,0.08,3,1,0,0,38.00,1.00,Maverick: 1,NOOT NOOT: 5,"155MM HOWITZER [M114]: 36, 75MM CANNON [Sherman M4A3(75)W]: 21, COAXIAL M1919 [Sherman M4A3(75)W]: 8, M1A1 THOMPSON: 6, HULL M1919 [Stuart M5A1]: 2",http://144.91.71.61:8040/#/gamescoreboard/14729
(WTH) tørfisk,167,5,33.4,76,2.04,0.06,1,5,0,0,30.00,1.00,p0r0: 1,Balaram: 11,"76MM M1 GUN [Sherman M4A3E2(76)]: 111, COAXIAL M1919 [Sherman M4A3E2(76)]: 32, M1 GARAND: 19, TELLERMINE 43: 3, COLT M1911: 1, HULL M1919 [Sherman M4A3E2(76)]: 1",http://144.91.71.61:8040/#/gamescoreboard/14725
OUTLaW,119,4,29.75,89,1.68,0.06,1,13,0,0,15.00,3.00,LizardDK: 2,Strevev: 9,150MM HOWITZER [sFH 18]: 119,http://144.91.71.61:8040/#/gamescoreboard/14725
(WTH) Harris,92,22,4.18,17,1.05,0.25,2,0,1,1,13.00,1.00,Dave28293: 3,Dave28293: 11,"M1 GARAND: 72, M1918A2 BAR: 18, MK2 GRENADE: 2",http://144.91.71.61:8040/#/gamescoreboard/14725
KRT™Mental asylum wa,90,0,90,90,1.56,0,0,1,0,0,0.00,167.00,,KRT™Viperspider: 6,155MM HOWITZER [M114]: 90,http://144.91.71.61:8040/#/gamescoreboard/14724
wss,94,31,3.03,11,1.26,0.41,3,1,0,0,7.00,0.00,Jocko: 4,MacIntyre: 9,"M1A1 THOMPSON: 53, M97 TRENCH GUN: 18, M1918A2 BAR: 10, M1 GARAND: 7, SATCHEL: 3, MK2 GRENADE: 2, UNKNOWN: 1",http://144.91.71.61:8040/#/gamescoreboard/14720
//W0RSTGUITARIST,73,16,4.56,20,1.33,0.29,3,0,1,1,12.00,1.00,Jocko: 2,dasding: 6,"M1 GARAND: 64, BAZOOKA: 4, M1A1 THOMPSON: 3, UNKNOWN: 1, M1A1 AT MINE: 1",http://144.91.71.61:8040/#/gamescoreboard/14720
dunas,71,32,2.22,17,0.79,0.35,3,0,2,1,8.00,1.00,Jocko: 4,Jocko: 5,"M1 GARAND: 58, BAZOOKA: 6, BROWNING M1919: 4, UNKNOWN: 2, MK2 GRENADE: 1",http://144.91.71.61:8040/#/gamescoreboard/14720
NicoTheDane,89,4,22.25,59,1.01,0.05,2,3,1,1,23.00,4.00,Dinodaman: 2,CSSatan: 5,"75MM CANNON [Sd.Kfz.161 Panzer IV]: 48, 50mm KwK 39/1 [Sd.Kfz.234 Puma]: 20, COAXIAL MG34 [Sd.Kfz.161 Panzer IV]: 11, 75MM CANNON [Sd.Kfz.171 Panther]: 6, COAXIAL MG34 [Sd.Kfz.234 Puma]: 3, COAXIAL MG34 [Sd.Kfz.171 Panther]: 1",http://144.91.71.61:8040/#/gamescoreboard/14719
Hellfire,73,23,3.17,16,0.83,0.26,3,0,1,1,13.00,0.00,Aneuthanasia: 4,[DD] Big Bad Bear: 8,"KARABINER 98K x8: 61, FG42 x4: 11, WALTHER P38: 1",http://144.91.71.61:8040/#/gamescoreboard/14719
[DKB] Mok,71,31,2.29,10,0.82,0.36,6,2,0,0,12.00,1.00,[EWSS]Richard: 3,Mr Worldwide: 6,"PPSH 41: 42, SATCHEL CHARGE: 10, SVT40: 9, TM-35 AT MINE: 7, RG-42 GRENADE: 2, MOSIN NAGANT 91/30: 1",http://144.91.71.61:8040/#/gamescoreboard/14719
(WTH) Reinout,108,13,8.31,29,1.33,0.16,1,0,0,0,13.00,2.00,Pakalu Papito: 3,(WTH) Capt Benfield: 7,"M1903 SPRINGFIELD: 104, M1 GARAND: 4",http://144.91.71.61:8040/#/gamescoreboard/14717
(WTH) Oskar,69,32,2.16,11,0.85,0.39,4,0,0,0,8.00,0.00,(WTH) Reinout: 6,RemasteredTP: 5,"GEWEHR 43: 67, UNKNOWN: 1, PANZERSCHRECK: 1",http://144.91.71.61:8040/#/gamescoreboard/14717
NicoTheDane,66,1,66,57,1.14,0.02,1,1,0,0,8.00,8.00,Fatherangelo: 1,Fatherangelo: 5,"75MM CANNON [Sherman M4A3(75)W]: 27, 37MM CANNON [Stuart M5A1]: 13, COAXIAL M1919 [Sherman M4A3(75)W]: 11, M6 37mm [M8 Greyhound]: 6, COAXIAL M1919 [Stuart M5A1]: 6, COAXIAL M1919 [M8 Greyhound]: 3",http://144.91.71.61:8040/#/gamescoreboard/14717
