Name,Kills,Deaths,K/D,Max kill streak,Kill(s) / minute,Death(s) / minute,Max death streak,Max TK streak,Death by TK,Death by TK Streak,(aprox.) Longest life min.,(aprox.) Shortest life secs.,Nemesis,Victim,Weapons,game_id
zΛrc.,79,33,2.39,11,0.96,0.4,5,0,0,0,15.00,0.00,feelsbadman: 6,Wotan: 9,"M1 GARAND: 75, UNKNOWN: 2, M3 KNIFE: 1, MK2 GRENADE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/1007
feelsbadman,76,29,2.62,15,0.87,0.33,4,0,1,1,14.00,0.00,mehtenvieh: 3,zΛrc.: 6,"MG42: 69, GEWEHR 43: 6, GMC CCKW 353 (Transport): 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/1007
phx.vistarrk,87,19,4.58,12,1.55,0.34,3,0,0,0,8.00,0.00,Srambo: 3,phx.Booze: 6,"M1 GARAND: 82, BAZOOKA: 5",http://teamphx.dynv6.net:8010/#/gamescoreboard/1006
phx.limit,72,36,2,10,0.8,0.4,3,0,0,0,13.00,0.00,Wotan: 4,FUBAR: 5,"GEWEHR 43: 62, KARABINER 98K: 4, PANZERSCHRECK: 3, MG42: 2, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/1006
phx.KAISER Mtbb,108,31,3.48,17,1.24,0.36,5,0,0,0,8.00,1.00,Sardukk: 3,phx.Rudi: 7,"M1 GARAND: 100, BAZOOKA: 7, M3 KNIFE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/853
CoRe | xiM,83,24,3.46,17,1.25,0.36,2,0,0,0,10.00,0.00,phx.White Death: 3,phx.Wazlav Khan: 5,"GEWEHR 43: 61, STG44: 15, M43 STIELHANDGRANATE: 4, UNKNOWN: 3",http://teamphx.dynv6.net:8010/#/gamescoreboard/852
phx.QubickZ,134,31,4.32,56,1.51,0.35,15,17,1,1,26.00,0.00,CoRe | GODSEND: 15,RAFA: 8,"155MM HOWITZER [M114]: 129, M1A1 THOMPSON: 2, TELLERMINE 43: 2, M1 GARAND: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/802
phx.Fullback,116,36,3.22,14,1.33,0.41,4,2,0,0,6.00,0.00,|HTD| Eichbauer: 6,|HTD| Epsilon: 11,"M1 GARAND: 105, BAZOOKA: 6, M1A1 THOMPSON: 3, SATCHEL: 1, MK2 GRENADE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/802
CoRe | Humpelpumpel,90,61,1.48,8,1.03,0.7,6,0,1,1,5.00,0.00,phx.Kaotic: 6,Lenny: 7,"MP40: 57, SATCHEL: 17, GEWEHR 43: 12, S-MINE: 2, UNKNOWN: 1, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/802
CoRe | Icarus,86,35,2.46,27,0.99,0.4,6,4,0,0,12.00,0.00,phx.limit: 15,phx.Bodinger: 8,"150MM HOWITZER [sFH 18]: 60, GEWEHR 43: 23, WALTHER P38: 1, M1A1 AT MINE: 1, M43 STIELHANDGRANATE: 1",http://teamphx.dynv6.net:8010/#/gamescoreboard/802
Harald,74,15,4.93,23,0.83,0.17,2,2,0,0,14.00,1.00,phx.limit: 6,phx.limit: 8,"150MM HOWITZER [sFH 18]: 34, GEWEHR 43: 32, KARABINER 98K: 6, PANZERSCHRECK: 2",http://teamphx.dynv6.net:8010/#/gamescoreboard/802
CoRe | GODSEND,67,25,2.68,10,0.77,0.29,2,1,0,0,11.00,1.00,phx.Cedi: 12,phx.Tactical Franz: 21,"MP40: 51, KARABINER 98K: 10, M43 STIELHANDGRANATE: 6",http://teamphx.dynv6.net:8010/#/gamescoreboard/802
[fll.fi] Boba,67,46,1.46,8,0.77,0.53,4,0,1,1,10.00,0.00,phx.Fullback: 4,ArcticZone: 7,GEWEHR 43: 67,http://teamphx.dynv6.net:8010/#/gamescoreboard/802
CoRe | DerAndere,65,20,3.25,12,0.94,0.29,4,0,0,0,11.00,0.00,Die Happy: 2,SnixxerTV: 6,"M1 GARAND: 57, M97 TRENCH GUN: 8",http://teamphx.dynv6.net:8010/#/gamescoreboard/734
pixelsmasher,87,26,3.35,17,1.15,0.34,3,0,1,1,9.00,1.00,phx.Wazlav Khan: 4,Ranu: 8,"GEWEHR 43: 75, M43 STIELHANDGRANATE: 5, UNKNOWN: 4, KARABINER 98K: 3",http://teamphx.dynv6.net:8010/#/gamescoreboard/699
phx.B4ttl3frog,85,30,2.83,21,1.04,0.37,3,0,1,1,10.00,1.00,pixelsmasher: 3,🅶 I|I Fenya: 6,M1 GARAND: 85,http://teamphx.dynv6.net:8010/#/gamescoreboard/699
